id,bhk,property_type,sharing_type,gender_preference,location,area,,furnished,ac,fridge,washing_machine,geyser,wifi,water_24h,parking,cooking_allowed,light_bill_included,full_rent
77,3BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,28000
78,3BHK,Room,Full,Any,Sector 6,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24000
79,2BHK,House,Full,Family,Vavol,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,13000
80,1BHK,Flat,Sharing,Boys,Sector 5A,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9000
81,1BHK,Tenament,Sharing,Any,Raysan,Gandhinagar,,Fully,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12000
82,1BHK,House,Sharing,Family,Infocity,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,Yes,17000
83,3BHK,Flat,Sharing,Girls,Sector 3,Gandhinagar,,Basic,No,Yes,No,No,Yes,Yes,No,Yes,No,18000
84,1BHK,Tenament,Full,Family,Sector 13,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,No,Yes,Yes,9000
85,3BHK,Room,Sharing,Any,Sector 3,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,No,18000
86,2BHK,Flat,Full,Girls,Vavol,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,13000
87,2BHK,House,Sharing,Any,Sector 5A,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,16000
88,2BHK,Room,Sharing,Boys,Sector 6,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,21000
89,2BHK,House,Full,Family,Kudasan,Gandhinagar,,Fully,No,No,Yes,No,No,Yes,Yes,Yes,Yes,26000
90,2BHK,Tenament,Full,Boys,Raysan,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,25000
91,1BHK,Tenament,Sharing,Girls,Infocity,Gandhinagar,,Semi,No,No,No,No,No,Yes,Yes,Yes,No,20000
92,1BHK,Tenament,Full,Boys,Sector 3,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,Yes,10000
93,3BHK,Room,Full,Boys,Raysan,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,No,Yes,No,32000
94,3BHK,Tenament,Sharing,Boys,Vavol,Gandhinagar,,Fully,No,No,Yes,No,No,Yes,Yes,Yes,Yes,20000
95,2BHK,House,Sharing,Family,Vavol,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,No,Yes,Yes,17000
96,3BHK,Room,Full,Family,Sector 13,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,No,Yes,No,18000
97,3BHK,Tenament,Full,Family,Raysan,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32000
98,2BHK,Flat,Full,Boys,Sargasan,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,30000
99,1BHK,House,Sharing,Any,Infocity,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,No,Yes,Yes,17000
100,1BHK,Room,Sharing,Family,Sector 5A,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,No,Yes,No,12000
101,3BHK,House,Full,Boys,Sector 3,Gandhinagar,,Fully,No,No,No,Yes,No,Yes,Yes,Yes,No,18000
102,1BHK,Tenament,Full,Girls,Raysan,Gandhinagar,,Fully,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,16000
103,2BHK,Tenament,Sharing,Family,Kudasan,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25000
104,3BHK,Flat,Sharing,Boys,Raysan,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,34000
105,2BHK,House,Full,Girls,Raysan,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,25000
106,2BHK,House,Sharing,Any,Sargasan,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,Yes,Yes,No,26000
107,2BHK,Tenament,Full,Boys,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,15000
108,2BHK,House,Full,Any,Sector 13,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,No,9000
109,3BHK,House,Full,Girls,Sector 2,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31000
110,3BHK,Room,Full,Boys,Kudasan,Gandhinagar,,Fully,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,38000
111,3BHK,Flat,Full,Any,Sector 6,Gandhinagar,,Basic,Yes,No,Yes,No,No,Yes,No,Yes,No,22000
112,1BHK,Flat,Full,Boys,Sector 5A,Gandhinagar,,Semi,No,Yes,Yes,No,No,Yes,No,Yes,No,12000
113,2BHK,Flat,Sharing,Any,Kudasan,Gandhinagar,,Basic,No,No,No,No,No,Yes,No,Yes,No,27000
114,3BHK,Room,Sharing,Boys,Sector 2,Gandhinagar,,Basic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,29000
115,3BHK,Tenament,Full,Any,Sector 2,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,28000
116,1BHK,Room,Sharing,Girls,Vavol,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10000
117,3BHK,Flat,Full,Any,Sector 2,Gandhinagar,,Fully,Yes,Yes,No,Yes,No,Yes,No,Yes,No,26000
118,3BHK,Flat,Full,Any,Sector 2,Gandhinagar,,Fully,No,Yes,No,No,Yes,Yes,Yes,Yes,No,27000
119,1BHK,Flat,Sharing,Girls,Raysan,Gandhinagar,,Basic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,15000
120,3BHK,Flat,Sharing,Family,Vavol,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,23000
121,2BHK,Room,Full,Boys,Sector 6,Gandhinagar,,Fully,Yes,Yes,No,No,No,Yes,No,Yes,No,20000
122,1BHK,Tenament,Full,Boys,Sector 3,Gandhinagar,,Semi,Yes,No,No,No,No,Yes,No,Yes,Yes,10000
123,3BHK,Flat,Full,Family,Vavol,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,No,Yes,Yes,19000
124,3BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,Yes,Yes,Yes,30000
125,1BHK,House,Full,Boys,Sector 6,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11000
126,2BHK,Flat,Full,Boys,Sector 2,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,No,Yes,No,19000
127,3BHK,Flat,Sharing,Boys,Raysan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,32000
128,3BHK,Flat,Sharing,Family,Sector 6,Gandhinagar,,Fully,Yes,No,No,No,Yes,Yes,No,Yes,No,22000
129,2BHK,House,Full,Family,Sargasan,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,27000
130,2BHK,Tenament,Full,Any,Kudasan,Gandhinagar,,Semi,No,Yes,Yes,No,No,Yes,No,Yes,No,23000
131,1BHK,Tenament,Full,Family,Infocity,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,22000
132,3BHK,House,Sharing,Any,Kudasan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,30000
133,3BHK,Tenament,Full,Any,Kudasan,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,Yes,Yes,Yes,32000
134,2BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Basic,Yes,No,No,No,No,Yes,No,Yes,Yes,27000
135,1BHK,Flat,Full,Any,Vavol,Gandhinagar,,Semi,Yes,No,No,No,No,Yes,Yes,Yes,No,11000
136,1BHK,Room,Sharing,Boys,Sector 3,Gandhinagar,,Semi,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7000
137,2BHK,Flat,Sharing,Any,Raysan,Gandhinagar,,Basic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,22000
138,1BHK,Flat,Sharing,Any,Sector 2,Gandhinagar,,Fully,No,No,Yes,No,No,Yes,No,Yes,No,16000
139,3BHK,Flat,Full,Boys,Sargasan,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,Yes,Yes,No,35000
140,2BHK,House,Sharing,Boys,Sector 13,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,No,Yes,No,12000
141,3BHK,Tenament,Sharing,Boys,Kudasan,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,No,Yes,No,29000
142,2BHK,Flat,Full,Family,Sector 3,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,No,Yes,No,13000
143,2BHK,Tenament,Sharing,Boys,Infocity,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,No,Yes,No,30000
144,1BHK,Room,Full,Family,Sector 13,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,7000
145,1BHK,Flat,Full,Girls,Sargasan,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,19000
146,1BHK,Flat,Sharing,Family,Sector 3,Gandhinagar,,Fully,No,Yes,Yes,Yes,No,Yes,No,Yes,No,10000
147,1BHK,Room,Sharing,Any,Sector 13,Gandhinagar,,Fully,No,No,No,Yes,No,Yes,No,Yes,No,8000
148,2BHK,Room,Sharing,Girls,Kudasan,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,20000
149,2BHK,Flat,Sharing,Family,Kudasan,Gandhinagar,,Semi,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,24000
150,1BHK,Room,Sharing,Family,Sector 5A,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,12000
151,1BHK,Flat,Full,Girls,Sector 6,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12000
152,3BHK,Tenament,Sharing,Boys,Sector 5A,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,No,Yes,No,21000
153,2BHK,Flat,Sharing,Any,Sector 2,Gandhinagar,,Basic,No,No,No,No,Yes,Yes,No,Yes,Yes,18000
154,1BHK,Flat,Sharing,Any,Sector 2,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,14000
155,2BHK,Flat,Sharing,Girls,Sector 2,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18000
156,3BHK,Room,Full,Any,Sector 2,Gandhinagar,,Fully,No,No,No,No,No,Yes,No,Yes,Yes,25000
157,2BHK,House,Sharing,Boys,Sargasan,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,No,30000
158,1BHK,Flat,Sharing,Girls,Sector 5A,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,No,Yes,No,13000
159,3BHK,Flat,Sharing,Family,Sector 5A,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,Yes,Yes,No,23000
160,1BHK,Tenament,Full,Family,Sector 3,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10000
161,1BHK,Tenament,Sharing,Boys,Sector 3,Gandhinagar,,Fully,No,No,No,Yes,No,Yes,No,Yes,Yes,9000
162,1BHK,Room,Sharing,Family,Sector 2,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,12000
163,2BHK,Room,Full,Family,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,18000
164,1BHK,House,Full,Girls,Kudasan,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,Yes,Yes,No,19000
165,2BHK,House,Sharing,Family,Sargasan,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,23000
166,3BHK,House,Sharing,Girls,Sector 2,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,27000
167,2BHK,Flat,Full,Family,Sector 3,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,11000
168,1BHK,Tenament,Full,Family,Infocity,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17000
169,1BHK,Flat,Sharing,Boys,Sector 13,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,9000
170,1BHK,Tenament,Sharing,Family,Sector 13,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,No,Yes,Yes,7000
171,1BHK,House,Sharing,Girls,Sector 3,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,10000
172,1BHK,House,Full,Boys,Sector 5A,Gandhinagar,,Semi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10000
173,3BHK,Room,Sharing,Boys,Sector 5A,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,21000
174,1BHK,Tenament,Full,Family,Infocity,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,21000
175,2BHK,Tenament,Full,Family,Sector 2,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,24000
176,1BHK,Flat,Full,Boys,Sector 3,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,9000
177,1BHK,Flat,Full,Any,Kudasan,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,13000
178,3BHK,House,Sharing,Any,Vavol,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,Yes,22000
179,3BHK,Tenament,Sharing,Family,Sector 5A,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,26000
180,3BHK,Flat,Sharing,Girls,Sector 2,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,30000
181,3BHK,Tenament,Full,Girls,Vavol,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,19000
182,1BHK,Room,Sharing,Any,Infocity,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19000
183,3BHK,Tenament,Sharing,Boys,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,25000
184,2BHK,House,Full,Any,Kudasan,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,24000
185,2BHK,Tenament,Sharing,Family,Vavol,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,14000
186,3BHK,House,Full,Family,Sector 6,Gandhinagar,,Fully,Yes,Yes,No,No,No,Yes,No,Yes,Yes,23000
187,1BHK,Flat,Sharing,Any,Vavol,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9000
188,3BHK,House,Sharing,Girls,Sector 6,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,25000
189,1BHK,Flat,Sharing,Boys,Sector 5A,Gandhinagar,,Basic,No,No,Yes,No,No,Yes,No,Yes,Yes,12000
190,3BHK,House,Sharing,Family,Sector 3,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16000
191,1BHK,House,Sharing,Any,Raysan,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,No,Yes,No,15000
192,3BHK,House,Sharing,Girls,Raysan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,31000
193,2BHK,Flat,Full,Girls,Raysan,Gandhinagar,,Basic,No,No,No,No,No,Yes,Yes,Yes,No,19000
194,2BHK,House,Full,Girls,Sargasan,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,No,Yes,No,22000
195,3BHK,Room,Sharing,Any,Sector 5A,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,23000
196,1BHK,House,Sharing,Girls,Kudasan,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,19000
197,1BHK,Room,Full,Girls,Vavol,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,12000
198,2BHK,Flat,Sharing,Family,Sector 2,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,23000
199,2BHK,Flat,Full,Boys,Sector 3,Gandhinagar,,Semi,No,Yes,Yes,No,No,Yes,No,Yes,No,15000
200,3BHK,House,Sharing,Girls,Sargasan,Gandhinagar,,Semi,Yes,No,No,No,No,Yes,No,Yes,No,33000
